arm1	arm2	alltracount	bdtracount	cont	e2	log2ratio	amptracount
1p	22p	0	0	4	4	0.137503523749935	0
1p	Yp	0	0	0	0	NA	0
1p	Yq	0	0	0	0	NA	0
1q	13p	0	0	7	18	1.41761144294267	0
1q	14p	0	0	35	46	0.500073603134643	0
1q	15p	0	0	24	19	-0.165423609207372	0
1q	22p	0	0	9	12	0.519374159093579	0
1q	Yp	0	0	0	0	NA	0
1q	Yq	0	0	0	0	NA	0
2p	13p	0	0	2	8	2.03562390973072	0
2p	14p	0	0	20	18	0	0
2p	15p	0	0	12	15	0.432959407276106	0
2p	21p	0	0	4	2	-0.736965594166206	0
2p	22p	0	0	4	10	1.37851162325373	0
2p	Yq	0	0	0	0	NA	0
2q	13p	0	0	16	24	0.678071905112638	0
2q	14p	0	0	12	11	0.0238467419543677	0
2q	15p	0	0	11	20	0.939739475182526	0
2q	22p	0	0	8	11	0.560714954474479	0
2q	Yp	0	0	0	0	NA	0
2q	Yq	0	0	0	0	NA	0
3p	13p	0	0	10	24	1.32192809488736	0
3p	14p	0	0	27	27	0.137503523749935	0
3p	15p	0	0	16	19	0.364572432295856	0
3p	22p	0	0	1	11	3.47248777146274	0
3p	Yp	0	0	0	0	NA	0
3p	Yq	0	0	0	0	NA	0
3q	13p	0	0	16	19	0.364572432295856	0
3q	14p	0	0	22	31	0.593679717822265	0
3q	15p	0	0	14	26	0.96874906601556	0
3q	21p	0	0	5	6	0.37851162325373	0
3q	22p	0	0	2	0	-3.32192809488736	0
3q	Yp	0	0	0	0	NA	0
3q	Yq	0	0	0	0	NA	0
4p	13p	0	0	2	2	0.137503523749935	0
4p	14p	0	0	6	2	-1.20645087746743	0
4p	15p	0	0	0	0	NA	0
4p	21p	0	0	7	9	0.470629825242161	0
4p	22p	0	0	1	2	1.0703893278914	0
4p	Yp	0	0	0	0	NA	0
4p	Yq	0	0	0	0	NA	0
4q	13p	0	0	8	2	-1.51457317282976	0
4q	14p	0	0	10	10	0.137503523749935	0
4q	15p	0	0	1	10	3.33628338786443	0
4q	21p	0	0	4	6	0.678071905112638	0
4q	22p	0	0	6	7	0.341036917835067	0
4q	Yp	0	0	0	0	NA	0
4q	Yq	0	0	0	0	NA	0
5p	13p	0	0	2	2	0.137503523749935	0
5p	14p	0	0	3	4	0.519374159093579	0
5p	15p	0	0	2	2	0.137503523749935	0
5p	21p	0	0	10	4	-1	0
5p	22p	0	0	5	3	-0.514573172829758	0
5p	Yp	0	0	0	0	NA	0
5p	Yq	0	0	0	0	NA	0
5q	13p	0	0	6	4	-0.383328639551506	0
5q	14p	0	0	1	12	3.59693514238723	0
5q	15p	0	0	4	2	-0.736965594166206	0
5q	21p	0	0	21	38	0.933212908788798	0
5q	22p	0	0	13	0	-3.32192809488736	0
5q	Yp	0	0	0	0	NA	0
5q	Yq	0	0	0	0	NA	0
6p	13p	0	0	14	2	-2.04182017569463	0
6p	14p	0	0	4	10	1.37851162325373	0
6p	15p	0	0	14	0	-3.32192809488736	0
6p	21p	0	0	1	6	2.60880924267552	0
6p	22p	0	0	1	4	2.03562390973072	0
6p	Yp	0	0	0	0	NA	0
6p	Yq	0	0	0	0	NA	0
6q	13p	0	0	4	2	-0.736965594166206	0
6q	14p	0	0	10	23	1.26303440583379	0
6q	15p	0	0	6	4	-0.383328639551506	0
6q	21p	0	0	4	18	2.20163386116965	0
6q	22p	0	0	2	2	0.137503523749935	0
6q	Yp	0	0	0	0	NA	0
6q	Yq	0	0	0	0	NA	0
7p	13p	0	0	4	6	0.678071905112638	0
7p	14p	0	0	6	6	0.137503523749935	0
7p	15p	0	0	4	5	0.432959407276106	0
7p	21p	0	0	51	56	0.260675132959872	0
7p	22p	0	0	7	13	0.96874906601556	0
7p	Yp	0	0	0	0	NA	0
7p	Yq	0	0	0	0	NA	0
7q	13p	0	0	8	8	0.137503523749935	0
7q	14p	0	0	20	14	-0.321928094887362	0
7q	15p	0	0	11	6	-0.631612594019978	0
7q	21p	0	0	83	101	0.397110159437618	0
7q	22p	0	0	6	6	0.137503523749935	0
7q	Yp	0	0	0	0	NA	0
7q	Yq	0	0	0	0	NA	0
8p	13p	0	0	1	4	2.03562390973072	0
8p	14p	0	0	9	0	-3.32192809488736	0
8p	15p	0	0	0	0	NA	0
8p	22p	0	0	2	0	-3.32192809488736	0
8p	Yp	0	0	0	0	NA	0
8p	Yq	0	0	0	0	NA	0
8q	13p	0	0	2	6	1.63226821549951	0
8q	14p	0	0	2	7	1.84799690655495	0
8q	15p	0	0	5	4	-0.15200309344505	0
8q	22p	0	0	1	8	3.01792190799726	0
8q	Yp	0	0	0	0	NA	0
8q	Yq	0	0	0	0	NA	0
9p	13p	0	0	0	0	NA	0
9p	14p	0	0	6	0	-3.32192809488736	0
9p	15p	0	0	2	3	0.678071905112638	0
9p	22p	0	0	35	53	0.690895945470221	0
9p	Yp	0	0	0	0	NA	0
9p	Yq	0	0	0	0	NA	0
9q	13p	0	0	32	27	-0.0835233555622835	0
9q	14p	0	0	4	6	0.678071905112638	0
9q	15p	0	0	4	4	0.137503523749935	0
9q	21p	0	0	4	4	0.137503523749935	0
9q	22p	0	0	6	6	0.137503523749935	0
9q	Yp	0	0	0	0	NA	0
9q	Yq	0	0	0	0	NA	0
10p	13p	0	0	1	2	1.0703893278914	0
10p	14p	0	0	1	4	2.03562390973072	0
10p	15p	0	0	1	4	2.03562390973072	0
10p	21p	0	0	0	0	NA	0
10p	22p	0	0	1	2	1.0703893278914	0
10p	Yp	0	0	0	0	NA	0
10p	Yq	0	0	0	0	NA	0
10q	13p	0	0	1	4	2.03562390973072	0
10q	14p	0	0	2	6	1.63226821549951	0
10q	15p	0	0	2	2	0.137503523749935	0
10q	21p	0	0	2	2	0.137503523749935	0
10q	22p	0	0	1	2	1.0703893278914	0
10q	Yp	0	0	0	0	NA	0
10q	Yq	0	0	0	0	NA	0
11p	13p	0	0	2	0	-3.32192809488736	0
11p	14p	0	0	4	8	1.0703893278914	0
11p	15p	0	0	1	6	2.60880924267552	0
11p	21p	0	0	17	24	0.596233613056177	0
11p	22p	0	0	2	2	0.137503523749935	0
11p	Yp	0	0	0	0	NA	0
11p	Yq	0	0	0	0	NA	0
11q	13p	0	0	2	2	0.137503523749935	0
11q	14p	0	0	4	2	-0.736965594166206	0
11q	15p	0	0	2	4	1.0703893278914	0
11q	22p	0	0	2	4	1.0703893278914	0
11q	Yp	0	0	0	0	NA	0
11q	Yq	0	0	0	0	NA	0
12p	13p	0	0	2	2	0.137503523749935	0
12p	14p	0	0	4	2	-0.736965594166206	0
12p	15p	0	0	2	4	1.0703893278914	0
12p	21p	0	0	2	0	-3.32192809488736	0
12p	22p	0	0	4	0	-3.32192809488736	0
12p	Yp	0	0	0	0	NA	0
12p	Yq	0	0	0	0	NA	0
12q	13p	0	0	1	2	1.0703893278914	0
12q	14p	0	0	1	2	1.0703893278914	0
12q	15p	0	0	2	4	1.0703893278914	0
12q	22p	0	0	2	4	1.0703893278914	0
12q	Yp	0	0	0	0	NA	0
12q	Yq	0	0	0	0	NA	0
13p	14p	0	0	0	0	NA	0
13p	14q	0	0	0	0	NA	0
13p	15p	0	0	0	0	NA	0
13p	15q	0	0	0	0	NA	0
13p	16p	0	0	0	0	NA	0
13p	16q	0	0	0	0	NA	0
13p	17p	0	0	0	0	NA	0
13p	17q	0	0	0	0	NA	0
13p	18p	0	0	0	0	NA	0
13p	18q	0	0	0	0	NA	0
13p	19p	0	0	0	0	NA	0
13p	19q	0	0	0	0	NA	0
13p	20p	0	0	0	0	NA	0
13p	20q	0	0	0	0	NA	0
13p	21p	0	0	2	7	1.84799690655495	0
13p	21q	0	0	0	0	NA	0
13p	22p	0	0	0	0	NA	0
13p	22q	0	0	4	6	0.678071905112638	0
13p	Xp	0	0	0	0	NA	0
13p	Xq	0	0	0	0	NA	0
13p	Yp	0	0	0	0	NA	0
13p	Yq	0	0	0	0	NA	0
13q	14p	0	0	0	0	NA	0
13q	15p	0	0	0	0	NA	0
13q	22p	0	0	0	0	NA	0
13q	Yp	0	0	0	0	NA	0
14p	15p	0	0	0	0	NA	0
14p	15q	0	0	0	0	NA	0
14p	16p	0	0	0	0	NA	0
14p	16q	0	0	0	0	NA	0
14p	17p	0	0	0	0	NA	0
14p	17q	0	0	0	0	NA	0
14p	18p	0	0	0	0	NA	0
14p	18q	0	0	0	0	NA	0
14p	19p	0	0	0	0	NA	0
14p	19q	0	0	0	0	NA	0
14p	20p	0	0	0	0	NA	0
14p	20q	0	0	0	0	NA	0
14p	21p	0	0	0	0	NA	0
14p	21q	0	0	0	0	NA	0
14p	22p	0	0	0	0	NA	0
14p	22q	0	0	0	0	NA	0
14p	Xp	0	0	0	0	NA	0
14p	Xq	0	0	0	0	NA	0
14p	Yp	0	0	0	0	NA	0
14p	Yq	0	0	0	0	NA	0
14q	15p	0	0	0	0	NA	0
14q	22p	0	0	1	2	1.0703893278914	0
14q	Yp	0	0	0	0	NA	0
14q	Yq	0	0	0	0	NA	0
15p	16p	0	0	0	0	NA	0
15p	16q	0	0	0	0	NA	0
15p	17p	0	0	0	0	NA	0
15p	17q	0	0	0	0	NA	0
15p	18p	0	0	0	0	NA	0
15p	18q	0	0	0	0	NA	0
15p	19p	0	0	0	0	NA	0
15p	19q	0	0	0	0	NA	0
15p	20p	0	0	0	0	NA	0
15p	20q	0	0	0	0	NA	0
15p	21p	0	0	0	0	NA	0
15p	21q	0	0	0	0	NA	0
15p	22p	0	0	0	0	NA	0
15p	22q	0	0	0	0	NA	0
15p	Xp	0	0	0	0	NA	0
15p	Xq	0	0	0	0	NA	0
15p	Yp	0	0	0	0	NA	0
15p	Yq	0	0	0	0	NA	0
15q	22p	0	0	1	7	2.82781902461732	0
15q	Yp	0	0	0	0	NA	0
15q	Yq	0	0	0	0	NA	0
16p	22p	0	0	1	9	3.18586654531133	0
16p	Yp	0	0	0	0	NA	0
16p	Yq	0	0	0	0	NA	0
16q	22p	0	0	4	8	1.0703893278914	0
16q	Yp	0	0	0	0	NA	0
16q	Yq	0	0	0	0	NA	0
17p	21p	0	0	1	6	2.60880924267552	0
17p	22p	0	0	2	0	-3.32192809488736	0
17p	Yp	0	0	0	0	NA	0
17p	Yq	0	0	0	0	NA	0
17q	22p	0	0	0	0	NA	0
17q	Yp	0	0	0	0	NA	0
17q	Yq	0	0	0	0	NA	0
18p	22p	0	0	0	0	NA	0
18p	Yp	0	0	0	0	NA	0
18p	Yq	0	0	0	0	NA	0
18q	21p	0	0	4	6	0.678071905112638	0
18q	22p	0	0	0	0	NA	0
18q	Yp	0	0	0	0	NA	0
18q	Yq	0	0	0	0	NA	0
19p	22p	0	0	0	0	NA	0
19p	Yp	0	0	0	0	NA	0
19p	Yq	0	0	0	0	NA	0
19q	22p	0	0	1	2	1.0703893278914	0
19q	Yp	0	0	0	0	NA	0
19q	Yq	0	0	0	0	NA	0
20p	22p	0	0	4	3	-0.234465253637023	0
20p	Yp	0	0	0	0	NA	0
20p	Yq	0	0	0	0	NA	0
20q	22p	0	0	1	10	3.33628338786443	0
20q	Yp	0	0	0	0	NA	0
20q	Yq	0	0	0	0	NA	0
21p	22p	0	0	0	0	NA	0
21p	Yp	0	0	0	0	NA	0
21p	Yq	0	0	0	0	NA	0
21q	22p	0	0	0	0	NA	0
21q	Yp	0	0	0	0	NA	0
21q	Yq	0	0	0	0	NA	0
22p	Xp	0	0	0	0	NA	0
22p	Xq	0	0	0	0	NA	0
22p	Yp	0	0	0	0	NA	0
22p	Yq	0	0	0	0	NA	0
22q	Yp	0	0	0	0	NA	0
Xp	Yp	0	0	0	0	NA	0
Xp	Yq	0	0	0	0	NA	0
Xq	Yp	0	0	0	0	NA	0
