arm1	arm2	alltracount	bdtracount	cont	e2	log2ratio	amptracount
4p	11q	14	2	6	5	-0.0995356735509144	1
4p	17q	14	1	6	7	0.341036917835067	1
4q	19q	14	0	2	2	0.137503523749935	0
4q	Xq	14	0	24	21	-0.036525876025114	0
5p	17q	14	0	4	4	0.137503523749935	0
5q	9q	14	0	9	12	0.519374159093579	0
5q	16q	14	0	13	4	-1.29444735846526	0
5q	19p	14	1	10	28	1.53605290024021	1
6q	16p	14	0	4	6	0.678071905112638	0
7p	Xq	14	0	8	9	0.292781749227846	0
7q	22q	14	0	0	0	NA	0
8p	9q	14	1	6	7	0.341036917835067	0
8p	11p	14	0	1	3	1.63226821549951	0
8p	12p	14	3	2	4	1.0703893278914	1
8p	21q	14	0	0	0	NA	0
10q	16p	14	0	2	4	1.0703893278914	0
10q	18q	14	0	2	2	0.137503523749935	0
10q	22q	14	0	1	4	2.03562390973072	0
10q	Xp	14	1	1	5	2.35049724708413	1
11q	18q	14	0	1	3	1.63226821549951	0
11q	Xp	14	1	4	5	0.432959407276106	2
15q	18q	14	0	4	2	-0.736965594166206	0
16p	22q	14	0	1	2	1.0703893278914	0
16q	19p	14	0	20	5	-1.51457317282976	0
20q	21q	14	2	7	5	-0.296393002780225	1
2p	18q	13	0	0	0	NA	0
2p	19q	13	1	0	0	NA	1
3p	12p	13	0	30	23	-0.206450877467426	0
3p	18q	13	0	0	0	NA	0
3p	Xp	13	0	18	19	0.208586621811418	0
3p	Xq	13	0	14	25	0.915111102413487	0
3q	16q	13	0	0	0	NA	0
4p	6p	13	0	1	8	3.01792190799726	0
4p	6q	13	0	4	9	1.23266075679027	0
4p	12q	13	1	2	6	1.63226821549951	1
4p	13q	13	0	0	0	NA	0
4p	15q	13	0	4	0	-3.32192809488736	0
4q	16p	13	1	16	16	0.137503523749935	0
5p	8p	13	2	4	2	-0.736965594166206	0
5q	12p	13	0	11	11	0.137503523749935	0
5q	16p	13	0	12	12	0.137503523749935	0
6p	7p	13	0	4	6	0.678071905112638	0
6p	20q	13	1	0	0	NA	2
6q	17p	13	1	14	16	0.313660478903762	1
7p	22q	13	0	0	0	NA	0
7p	Xp	13	1	1	4	2.03562390973072	0
7q	16q	13	0	12	19	0.751320887143276	0
8p	19p	13	3	6	36	2.60880924267552	3
8p	Xp	13	2	0	0	NA	2
9p	10q	13	0	5	6	0.37851162325373	0
9p	15q	13	0	2	0	-3.32192809488736	0
9p	20q	13	0	2	0	-3.32192809488736	0
9q	12p	13	0	4	4	0.137503523749935	0
9q	13q	13	1	9	0	-3.32192809488736	0
9q	15q	13	0	6	8	0.519374159093579	0
9q	22q	13	1	0	0	NA	1
9q	Xq	13	0	4	10	1.37851162325373	0
10q	16q	13	1	2	8	2.03562390973072	1
11p	16q	13	0	2	4	1.0703893278914	0
11p	22q	13	0	0	0	NA	0
12p	13q	13	0	6	4	-0.383328639551506	0
12p	16q	13	1	1	5	2.35049724708413	1
14q	Xp	13	0	1	2	1.0703893278914	0
14q	Xq	13	0	14	11	-0.175086706558091	0
15q	Xp	13	0	0	0	NA	0
21q	22q	13	0	2	2	0.137503523749935	0
1p	4p	12	0	20	32	0.765534746362977	0
1p	Xp	12	1	23	19	-0.110780430718537	1
2p	13q	12	0	1	2	1.0703893278914	0
